pair_id,fact_id,entity_id,slot,outcome,alignment_axis,peer_label,parent_description_change
112702,a1,e1,size,removed,decided,,equivalent
112702,a2,e1,color,retained,decided,supported,equivalent
112702,a4,e1,size,removed,decided,,equivalent
89359,a1,e1,material,removed,decided,,equivalent
366830,a1,e1,color,retained,decided,supported,equivalent
537857,a1,e2,color,retained,decided,supported,equivalent
537857,a2,e3,color,modified,decided,supported,equivalent
164497,a1,e2,state,removed,decided,,equivalent
380203,a1,e1,color,retained,decided,supported,equivalent
380203,a2,e2,color,removed,decided,,equivalent
570101,a1,e1,size,removed,decided,,equivalent
570101,a2,e2,size,removed,decided,,equivalent
447553,a1,e3,material,removed,decided,,equivalent
230739,a1,e1,size,removed,decided,,equivalent
198590,a2,e3,color,retained,decided,supported,specialized
133819,a1,e1,color,modified,decided,supported,equivalent
133819,a2,e1,size,removed,decided,,equivalent
281683,a2,e5,color,retained,decided,supported,equivalent
574280,a1,e2,color,retained,decided,supported,equivalent
574280,a2,e2,size,removed,decided,,equivalent
515391,a1,e2,color,removed,decided,,equivalent
515391,a2,e3,color,removed,decided,,equivalent
572050,a1,e1,color,retained,decided,supported,equivalent
233023,a1,e2,size,retained,decided,supported,equivalent
230220,a1,e4,color,removed,decided,,equivalent
519728,a1,e1,size,removed,decided,,equivalent
280888,a1,e2,material,removed,decided,,equivalent
91349,a1,e5,color,retained,decided,supported,equivalent
110196,a1,e2,color,retained,decided,supported,equivalent
441614,a1,e1,material,removed,decided,,equivalent
35966,a1,e1,color,retained,decided,supported,equivalent
458778,a1,e3,material,unresolved,technical_unresolved,,equivalent
578383,a1,e1,size,removed,decided,,equivalent
578383,a2,e1,color,removed,decided,,equivalent
361521,a1,e2,color,retained,decided,supported,equivalent
361521,a2,e4,color,retained,decided,supported,specialized
340934,a1,e1,size,removed,decided,,equivalent
467966,a1,e1,color,retained,decided,supported,equivalent
448657,a1,e2,color,removed,decided,,equivalent
448657,a2,e3,color,removed,decided,,equivalent
448657,a3,e3,color,removed,decided,,equivalent
448657,a4,e3,color,removed,decided,,equivalent
381925,a1,e2,material,retained,decided,supported,equivalent
85162,a1,e2,material,retained,decided,supported,equivalent
85162,a2,e2,color,retained,decided,supported,equivalent
581863,a1,e1,size,removed,decided,,equivalent
581863,a2,e2,color,retained,decided,supported,equivalent
581863,a3,e3,material,removed,decided,,equivalent
120340,a1,e2,color,removed,decided,,equivalent
120340,a2,e6,color,retained,decided,supported,equivalent
572184,a1,e1,color,retained,decided,supported,equivalent
168583,a1,e3,color,unresolved,semantic_unresolved,,equivalent
286591,a1,e2,material,removed,decided,,equivalent
417586,a1,e1,material,retained,decided,supported,equivalent
96034,a2,e2,size,removed,decided,,equivalent
168543,a1,e1,color,retained,decided,supported,equivalent
239005,a1,e1,color,retained,decided,supported,equivalent
476796,a1,e1,size,removed,decided,,equivalent
372428,a1,e2,color,removed,decided,,equivalent
160004,a1,e2,color,removed,decided,,generalized
332777,a1,e2,material,retained,decided,supported,generalized
370207,a1,e3,color,retained,decided,supported,equivalent
169436,a1,e2,color,retained,decided,supported,equivalent
169436,a2,e2,color,removed,decided,,equivalent
365208,a1,e3,size,removed,decided,,equivalent
221536,a1,e2,color,retained,decided,supported,equivalent
298372,a1,e1,size,removed,decided,,equivalent
298372,a2,e1,color,retained,decided,supported,equivalent
388409,a1,e1,color,retained,decided,supported,equivalent
388409,a2,e2,size,removed,decided,,equivalent
501047,a1,e1,size,retained,decided,supported,equivalent
180917,a2,e2,size,removed,decided,,equivalent
71090,a1,e1,size,removed,decided,,equivalent
71090,a2,e1,color,removed,decided,,equivalent
71090,a3,e2,material,removed,decided,,equivalent
71090,a4,e3,color,unresolved,technical_unresolved,,equivalent
418623,a1,e2,color,unresolved,technical_unresolved,,equivalent
418623,a2,e3,color,unresolved,technical_unresolved,,equivalent
418623,a3,e2,size,unresolved,technical_unresolved,,equivalent
528098,a1,e2,material,retained,decided,supported,equivalent
528098,a2,e4,material,retained,decided,supported,equivalent
536720,a1,e3,material,removed,decided,,equivalent
265096,a1,e1,size,removed,decided,,equivalent
30273,a1,e1,color,retained,decided,supported,equivalent
566324,a1,e1,size,removed,decided,,equivalent
283119,a1,e1,color,retained,decided,supported,equivalent
15113,a1,e1,color,retained,decided,supported,equivalent
15113,a3,e4,color,removed,decided,,equivalent
142826,a1,e1,material,removed,decided,,equivalent
142826,a2,e4,color,removed,decided,,equivalent
240323,a1,e1,color,removed,decided,,equivalent
180167,a1,e1,size,removed,decided,,equivalent
180167,a2,e1,color,retained,decided,supported,equivalent
180167,a3,e2,color,removed,decided,,equivalent
143132,a1,e3,color,removed,decided,,equivalent
150639,a2,e5,color,unresolved,decided,supported,equivalent
236747,a1,e1,size,removed,decided,,equivalent
236747,a2,e1,color,removed,decided,,equivalent
209322,a1,e1,color,retained,decided,supported,equivalent
357501,a1,e1,material,retained,decided,supported,equivalent
213432,a1,e1,color,removed,decided,,equivalent
99581,a1,e2,size,removed,decided,,equivalent
99581,a2,e2,color,modified,decided,supported,equivalent
497867,a1,e1,color,removed,decided,,equivalent
497867,a2,e1,color,removed,decided,,equivalent
298812,a1,e2,color,retained,decided,supported,equivalent
298812,a2,e3,color,removed,decided,,equivalent
298812,a3,e3,color,removed,decided,,equivalent
365099,a1,e2,color,retained,decided,supported,equivalent
469638,a1,e1,size,removed,decided,,equivalent
469638,a2,e2,color,retained,decided,supported,equivalent
190395,a1,e1,size,retained,decided,supported,equivalent
190395,a2,e1,material,removed,decided,,equivalent
190395,a3,e1,material,removed,decided,,equivalent
19079,a1,e1,color,retained,decided,supported,equivalent
321217,a2,e4,color,retained,decided,supported,equivalent
338419,a2,e2,color,retained,decided,supported,equivalent
360487,a1,e1,color,retained,decided,supported,equivalent
360487,a2,e1,material,retained,decided,supported,equivalent
360487,a3,e3,color,retained,decided,supported,equivalent
58029,a1,e1,size,removed,decided,,equivalent
428975,a1,e1,material,removed,decided,,equivalent
371005,a1,e1,color,retained,decided,supported,equivalent
371005,a2,e1,color,removed,decided,,equivalent
8899,a1,e1,color,removed,decided,,equivalent
8899,a2,e1,material,removed,decided,,equivalent
8899,a3,e2,color,retained,decided,supported,equivalent
506441,a1,e2,color,removed,decided,,equivalent
438364,a1,e1,color,retained,decided,supported,equivalent
438364,a2,e1,size,removed,decided,,equivalent
551665,a1,e4,material,modified,decided,hallucinated,equivalent
551665,a3,e8,size,removed,decided,,equivalent
442136,a1,e2,color,retained,decided,supported,equivalent
249883,a1,e4,color,retained,decided,supported,equivalent
564003,a2,e1,color,retained,decided,supported,equivalent
6460,a1,e2,size,removed,decided,,equivalent
245173,a1,e1,size,removed,decided,,equivalent
522478,a1,e1,size,removed,decided,,equivalent
522478,a2,e2,shape,removed,decided,,equivalent
522478,a3,e3,color,unresolved,technical_unresolved,,equivalent
281628,a1,e2,color,removed,decided,,equivalent
567171,a2,e4,color,unresolved,semantic_unresolved,,equivalent
317479,a1,e1,size,removed,decided,,generalized
317479,a2,e1,color,retained,decided,supported,generalized
236246,a2,e3,color,retained,decided,supported,equivalent
401862,a1,e2,color,retained,decided,supported,equivalent
409009,a1,e1,color,retained,decided,supported,generalized
438426,a1,e2,color,modified,decided,supported,equivalent
438426,a2,e3,color,retained,decided,supported,equivalent
568814,a3,e9,color,retained,decided,supported,equivalent
565761,a1,e1,size,retained,decided,supported,equivalent
1682,a1,e1,size,removed,decided,,specialized
415015,a1,e2,state,removed,decided,,equivalent
232679,a1,e1,material,removed,decided,,equivalent
430973,a1,e1,size,removed,decided,,equivalent
430973,a3,e4,color,removed,decided,,generalized
226802,a1,e2,color,removed,decided,,generalized
381658,a1,e1,size,removed,decided,,equivalent
381658,a2,e1,shape,removed,decided,,equivalent
381658,a3,e1,color,modified,decided,supported,equivalent
381658,a4,e1,color,removed,decided,,equivalent
570659,a1,e2,color,retained,decided,supported,equivalent
570659,a2,e5,color,removed,decided,,equivalent
84477,a1,e1,color,retained,decided,supported,equivalent
84477,a2,e2,color,retained,decided,supported,equivalent
210394,a1,e1,color,retained,decided,supported,equivalent
210394,a2,e1,color,retained,decided,supported,equivalent
66841,a1,e1,shape,unresolved,semantic_unresolved,,generalized
120234,a1,e2,size,removed,decided,,equivalent
197666,a1,e1,color,retained,decided,supported,equivalent
197666,a2,e1,color,retained,decided,supported,equivalent
419697,a1,e2,size,removed,decided,,equivalent
419697,a2,e2,color,modified,decided,supported,equivalent
530600,a1,e3,color,retained,decided,supported,equivalent
530600,a2,e4,color,removed,decided,,equivalent
1404,a1,e2,material,removed,decided,,equivalent
1404,a2,e2,color,removed,decided,,equivalent
242422,a1,e2,material,removed,decided,,equivalent
350160,a1,e5,color,modified,decided,supported,specialized
180411,a1,e1,size,retained,decided,supported,generalized
180411,a2,e1,color,removed,decided,,generalized
210408,a1,e1,color,retained,decided,supported,equivalent
563153,a2,e2,material,unresolved,technical_unresolved,,equivalent
563153,a3,e3,color,retained,decided,supported,equivalent
408501,a1,e1,size,removed,decided,,equivalent
408501,a2,e1,color,retained,decided,supported,equivalent
408501,a3,e1,color,retained,decided,supported,equivalent
61715,a1,e4,size,removed,decided,,equivalent
443844,a1,e4,material,removed,decided,,equivalent
482742,a1,e4,size,removed,decided,,specialized
317531,a1,e1,color,modified,decided,supported,equivalent
128515,a1,e2,color,retained,decided,supported,equivalent
25846,a2,e7,color,retained,decided,supported,equivalent
221914,a1,e3,color,removed,decided,,equivalent
450849,a1,e1,material,removed,decided,,equivalent
319726,a1,e2,color,retained,decided,supported,equivalent
319726,a2,e3,color,retained,decided,supported,equivalent
92679,a1,e5,material,retained,decided,supported,equivalent
1180,a1,e4,size,removed,decided,,equivalent
296960,a1,e1,size,removed,decided,,equivalent
369190,a1,e1,shape,removed,decided,,generalized
103485,a1,e2,material,removed,decided,,equivalent
228867,a2,e6,color,retained,decided,supported,specialized
331180,a2,e7,color,removed,decided,,equivalent
262531,a1,e4,color,retained,decided,supported,equivalent
1960,a1,e2,color,retained,decided,supported,equivalent
1960,a2,e5,color,retained,decided,supported,equivalent
169273,a1,e1,size,removed,decided,,equivalent
5804,a1,e1,color,retained,decided,supported,equivalent
5804,a2,e1,material,removed,decided,,equivalent
515682,a1,e7,color,retained,decided,supported,equivalent
92248,a1,e1,size,removed,decided,,equivalent
136466,a1,e1,color,retained,decided,supported,equivalent
312682,a1,e3,color,removed,decided,,equivalent
626,a1,e1,size,removed,decided,,equivalent
626,a2,e1,material,removed,decided,,equivalent
626,a3,e4,size,removed,decided,,equivalent
439426,a2,e5,material,unresolved,semantic_unresolved,,equivalent
416145,a1,e1,color,retained,decided,supported,equivalent
416145,a2,e1,size,removed,decided,,equivalent
565778,a1,e1,color,retained,decided,supported,equivalent
451944,a1,e3,color,retained,decided,supported,equivalent
484303,a2,e3,color,retained,decided,supported,equivalent
140010,a1,e1,material,removed,decided,,equivalent
437303,a1,e2,size,unresolved,technical_unresolved,,equivalent
437303,a2,e2,color,unresolved,technical_unresolved,,equivalent
183469,a1,e2,material,unresolved,decided,,equivalent
183469,a2,e1,color,unresolved,decided,,equivalent
183469,a4,e1,color,unresolved,decided,,equivalent
220277,a1,e5,size,removed,decided,,equivalent
220277,a2,e5,material,removed,decided,,equivalent
