pair_id,fact_id,outcome,description_change
120357,entity_e5,retained,equivalent
120357,entity_e6,removed,absent
120357,entity_e7,removed,absent
120357,entity_e8,removed,absent
120357,entity_e9,removed,absent
68418,entity_e1,retained,equivalent
68418,entity_e2,retained,equivalent
561517,entity_e1,retained,equivalent
561517,entity_e2,removed,absent
561517,entity_e3,unresolved,unresolved
561517,entity_e4,retained,equivalent
561517,entity_e6,removed,absent
561517,entity_e7,removed,absent
561517,entity_e8,retained,equivalent
561517,entity_e10,retained,equivalent
543118,entity_e1,retained,equivalent
543118,entity_e3,retained,equivalent
543118,entity_e4,retained,equivalent
543118,entity_e5,retained,equivalent
543118,entity_e6,removed,absent
120806,entity_e1,retained,equivalent
120806,entity_e2,retained,generalized
120806,entity_e3,retained,equivalent
120806,entity_e4,unresolved,collection_change
120806,entity_e5,retained,equivalent
136140,entity_e1,retained,equivalent
136140,entity_e2,retained,equivalent
136140,entity_e3,retained,equivalent
196989,entity_e1,retained,equivalent
196989,entity_e2,retained,equivalent
196989,entity_e3,removed,absent
196989,entity_e4,removed,absent
196989,entity_e5,removed,absent
85674,entity_e1,retained,equivalent
85674,entity_e2,retained,equivalent
85674,entity_e3,retained,equivalent
85674,entity_e4,retained,equivalent
85674,entity_e5,removed,absent
85674,entity_e6,retained,equivalent
85674,entity_e7,retained,equivalent
85674,entity_e8,retained,equivalent
433892,entity_e1,retained,equivalent
433892,entity_e2,retained,equivalent
433892,entity_e3,removed,absent
433892,entity_e4,retained,equivalent
433892,entity_e6,retained,equivalent
433892,entity_e7,retained,equivalent
190015,entity_e1,retained,equivalent
190015,entity_e2,retained,equivalent
190015,entity_e3,retained,equivalent
190015,entity_e4,removed,absent
419558,entity_e1,retained,equivalent
419558,entity_e2,retained,specialized
419558,entity_e3,removed,absent
70471,entity_e1,retained,generalized
70471,entity_e2,retained,equivalent
70471,entity_e3,retained,equivalent
70471,entity_e4,retained,equivalent
70471,entity_e5,retained,equivalent
70471,entity_e6,removed,absent
70471,entity_e9,retained,specialized
569801,entity_e1,retained,equivalent
569801,entity_e2,retained,equivalent
569801,entity_e3,removed,absent
569801,entity_e4,removed,absent
569801,entity_e5,removed,absent
569801,entity_e7,removed,absent
86250,entity_e1,retained,equivalent
86250,entity_e2,removed,absent
86250,entity_e3,retained,equivalent
86250,entity_e4,retained,equivalent
86250,entity_e5,removed,absent
86250,entity_e7,removed,absent
86250,entity_e8,removed,absent
86250,entity_e9,removed,absent
86250,entity_e11,retained,equivalent
552221,entity_e1,retained,equivalent
552221,entity_e2,retained,equivalent
552221,entity_e3,retained,equivalent
552221,entity_e4,removed,absent
552221,entity_e5,removed,absent
552221,entity_e6,retained,equivalent
552221,entity_e7,retained,equivalent
118839,entity_e1,retained,equivalent
118839,entity_e2,retained,equivalent
118839,entity_e3,retained,specialized
118839,entity_e5,removed,absent
118839,entity_e6,removed,absent
118839,entity_e8,removed,absent
303499,entity_e1,unresolved,collection_change
303499,entity_e2,retained,equivalent
303499,entity_e3,unresolved,collection_change
303499,entity_e4,removed,absent
471483,entity_e1,retained,equivalent
471483,entity_e2,retained,specialized
471483,entity_e3,removed,absent
471483,entity_e4,retained,equivalent
471483,entity_e5,retained,equivalent
471483,entity_e6,retained,equivalent
545353,entity_e1,retained,equivalent
545353,entity_e2,retained,equivalent
545353,entity_e3,retained,equivalent
545353,entity_e4,retained,equivalent
545353,entity_e5,removed,absent
55857,entity_e1,retained,equivalent
55857,entity_e2,retained,specialized
55857,entity_e3,removed,absent
55857,entity_e4,retained,equivalent
55857,entity_e5,retained,generalized
55857,entity_e6,removed,absent
55857,entity_e7,removed,absent
55857,entity_e8,retained,equivalent
150098,entity_e1,retained,equivalent
150098,entity_e2,retained,equivalent
150098,entity_e3,retained,equivalent
150098,entity_e4,removed,absent
150098,entity_e5,removed,absent
150098,entity_e6,removed,absent
183970,entity_e1,retained,equivalent
183970,entity_e2,removed,absent
183970,entity_e3,removed,absent
183970,entity_e4,retained,equivalent
183970,entity_e5,retained,equivalent
183970,entity_e7,removed,absent
32909,entity_e1,retained,equivalent
32909,entity_e2,removed,absent
21046,entity_e1,retained,equivalent
21046,entity_e2,retained,equivalent
21046,entity_e4,retained,equivalent
21046,entity_e5,removed,absent
21046,entity_e6,removed,absent
21046,entity_e7,retained,equivalent
21046,entity_e8,retained,equivalent
21046,entity_e9,removed,absent
195269,entity_e1,retained,generalized
195269,entity_e2,retained,generalized
195269,entity_e3,retained,equivalent
195269,entity_e4,retained,equivalent
195269,entity_e5,retained,equivalent
195269,entity_e6,retained,equivalent
195269,entity_e7,removed,absent
513037,entity_e1,retained,equivalent
513037,entity_e2,retained,equivalent
513037,entity_e3,retained,equivalent
513037,entity_e4,retained,equivalent
513037,entity_e5,removed,absent
431364,entity_e1,retained,equivalent
431364,entity_e2,retained,equivalent
431364,entity_e3,retained,equivalent
431364,entity_e4,retained,equivalent
431364,entity_e5,removed,absent
431364,entity_e6,retained,equivalent
121876,entity_e1,retained,equivalent
121876,entity_e2,removed,absent
121876,entity_e3,removed,absent
121876,entity_e4,retained,specialized
256220,entity_e1,retained,generalized
256220,entity_e2,retained,equivalent
256220,entity_e3,retained,equivalent
256220,entity_e4,retained,equivalent
256220,entity_e7,removed,absent
256220,entity_e8,removed,absent
256220,entity_e9,removed,absent
274612,entity_e1,retained,equivalent
274612,entity_e2,removed,absent
43324,entity_e1,retained,equivalent
43324,entity_e2,retained,equivalent
43324,entity_e3,removed,absent
43324,entity_e4,removed,absent
43324,entity_e5,removed,absent
43324,entity_e6,removed,absent
82465,entity_e1,retained,equivalent
82465,entity_e2,removed,absent
82465,entity_e3,retained,equivalent
82465,entity_e4,removed,absent
82465,entity_e5,removed,absent
75806,entity_e1,retained,equivalent
75806,entity_e2,retained,equivalent
75806,entity_e3,retained,equivalent
75806,entity_e4,retained,equivalent
75806,entity_e6,removed,absent
89296,entity_e1,retained,equivalent
89296,entity_e2,removed,absent
89296,entity_e3,removed,absent
89296,entity_e4,retained,equivalent
89296,entity_e5,retained,equivalent
449039,entity_e1,retained,equivalent
449039,entity_e2,retained,equivalent
449039,entity_e3,retained,equivalent
449039,entity_e4,removed,absent
449039,entity_e5,retained,equivalent
449039,entity_e6,removed,absent
449039,entity_e7,removed,absent
449039,entity_e8,removed,absent
527219,entity_e1,retained,equivalent
527219,entity_e2,retained,equivalent
527219,entity_e3,retained,equivalent
527219,entity_e4,retained,equivalent
527219,entity_e5,retained,equivalent
527219,entity_e6,retained,equivalent
527219,entity_e7,retained,equivalent
527219,entity_e8,retained,equivalent
45094,entity_e1,retained,equivalent
45094,entity_e2,retained,generalized
45094,entity_e3,removed,absent
45094,entity_e4,retained,equivalent
45094,entity_e5,retained,equivalent
45094,entity_e6,removed,absent
45094,entity_e7,removed,absent
45094,entity_e11,removed,absent
113246,entity_e1,retained,equivalent
113246,entity_e2,retained,equivalent
113246,entity_e3,retained,specialized
113246,entity_e4,removed,absent
113246,entity_e5,retained,equivalent
113246,entity_e6,retained,equivalent
113246,entity_e9,removed,absent
389308,entity_e1,retained,equivalent
389308,entity_e2,retained,generalized
389308,entity_e3,removed,absent
389308,entity_e4,removed,absent
261115,entity_e1,retained,equivalent
261115,entity_e2,retained,equivalent
261115,entity_e3,retained,equivalent
261115,entity_e4,removed,absent
261115,entity_e5,retained,equivalent
261115,entity_e6,retained,generalized
253489,entity_e1,removed,absent
253489,entity_e2,retained,equivalent
253489,entity_e3,retained,equivalent
253489,entity_e4,retained,equivalent
253489,entity_e5,retained,equivalent
253489,entity_e6,retained,equivalent
253489,entity_e7,retained,equivalent
253489,entity_e8,removed,absent
45367,entity_e1,retained,equivalent
45367,entity_e2,retained,equivalent
45367,entity_e3,removed,absent
45367,entity_e4,retained,equivalent
45367,entity_e5,removed,absent
45367,entity_e6,retained,equivalent
46912,entity_e2,retained,equivalent
46912,entity_e3,retained,equivalent
94760,entity_e1,retained,equivalent
94760,entity_e2,retained,equivalent
94760,entity_e3,retained,equivalent
94760,entity_e4,retained,equivalent
96755,entity_e1,retained,equivalent
96755,entity_e2,unresolved,collection_change
96755,entity_e3,unresolved,collection_change
96755,entity_e4,retained,equivalent
96755,entity_e5,unresolved,unresolved
96755,entity_e6,removed,absent
96755,entity_e8,retained,equivalent
96755,entity_e9,retained,equivalent
96755,entity_e11,removed,absent
221044,entity_e1,removed,absent
221044,entity_e2,removed,absent
221044,entity_e3,retained,equivalent
221044,entity_e4,retained,equivalent
221044,entity_e5,unresolved,unresolved
221044,entity_e6,retained,equivalent
221044,entity_e9,unresolved,unresolved
482236,entity_e1,retained,equivalent
482236,entity_e2,retained,equivalent
482236,entity_e3,retained,equivalent
482236,entity_e4,removed,absent
482236,entity_e5,retained,equivalent
482236,entity_e6,removed,absent
482236,entity_e9,removed,absent
48530,entity_e1,retained,equivalent
48530,entity_e2,retained,generalized
48530,entity_e3,removed,absent
112437,entity_e1,retained,equivalent
112437,entity_e2,removed,absent
112437,entity_e3,retained,specialized
112437,entity_e4,removed,absent
112437,entity_e5,unresolved,collection_change
112437,entity_e6,removed,absent
112437,entity_e10,removed,absent
112437,entity_e11,removed,absent
255795,entity_e1,retained,equivalent
255795,entity_e2,retained,equivalent
255795,entity_e3,retained,equivalent
255795,entity_e4,retained,equivalent
255795,entity_e5,retained,equivalent
255795,entity_e6,removed,absent
255795,entity_e10,removed,absent
255795,entity_e11,removed,absent
511138,entity_e1,retained,equivalent
511138,entity_e2,retained,equivalent
511138,entity_e4,retained,equivalent
548090,entity_e1,retained,generalized
548090,entity_e2,retained,equivalent
548090,entity_e3,retained,equivalent
548090,entity_e4,retained,equivalent
548090,entity_e5,retained,equivalent
548090,entity_e6,removed,absent
548090,entity_e7,removed,absent
403907,entity_e1,retained,equivalent
403907,entity_e2,unresolved,unresolved
403907,entity_e4,removed,absent
439180,entity_e1,retained,equivalent
439180,entity_e2,retained,equivalent
439180,entity_e3,retained,equivalent
439180,entity_e4,retained,equivalent
439180,entity_e6,removed,absent
554582,entity_e1,retained,equivalent
554582,entity_e2,retained,equivalent
554582,entity_e3,unresolved,unresolved
554582,entity_e4,removed,absent
475150,entity_e1,retained,equivalent
475150,entity_e2,retained,equivalent
475150,entity_e3,retained,equivalent
575946,entity_e1,retained,equivalent
575946,entity_e2,removed,absent
575946,entity_e3,removed,absent
575946,entity_e4,removed,absent
575946,entity_e7,removed,absent
575946,entity_e8,removed,absent
575946,entity_e9,removed,absent
356500,entity_e1,retained,equivalent
356500,entity_e2,retained,equivalent
356500,entity_e3,retained,equivalent
356500,entity_e4,retained,equivalent
356500,entity_e5,retained,equivalent
356500,entity_e6,removed,absent
579468,entity_e1,retained,equivalent
579468,entity_e2,retained,equivalent
579468,entity_e3,retained,generalized
579468,entity_e4,removed,absent
579468,entity_e5,retained,equivalent
579468,entity_e6,retained,equivalent
579468,entity_e7,removed,absent
332570,entity_e1,retained,equivalent
332570,entity_e2,retained,equivalent
332570,entity_e3,removed,absent
332570,entity_e4,removed,absent
332570,entity_e5,removed,absent
332570,entity_e6,removed,absent
293964,entity_e1,retained,equivalent
293964,entity_e2,unresolved,collection_change
293964,entity_e4,removed,absent
293964,entity_e5,removed,absent
293964,entity_e6,removed,absent
293964,entity_e7,removed,absent
137967,entity_e1,retained,equivalent
137967,entity_e2,retained,equivalent
137967,entity_e3,retained,equivalent
137967,entity_e4,retained,equivalent
137967,entity_e5,retained,equivalent
137967,entity_e6,retained,equivalent
137967,entity_e10,removed,absent
137967,entity_e11,removed,absent
137967,entity_e12,removed,absent
54264,entity_e2,retained,equivalent
54264,entity_e3,removed,absent
54264,entity_e4,removed,absent
54264,entity_e5,removed,absent
63040,entity_e1,retained,equivalent
63040,entity_e2,retained,equivalent
63040,entity_e3,retained,equivalent
63040,entity_e4,retained,equivalent
63040,entity_e5,removed,absent
63040,entity_e6,removed,absent
63040,entity_e7,removed,absent
63040,entity_e8,removed,absent
63040,entity_e9,retained,equivalent
63040,entity_e10,retained,equivalent
397351,entity_e1,retained,equivalent
397351,entity_e2,retained,equivalent
397351,entity_e3,removed,absent
204661,entity_e1,retained,equivalent
204661,entity_e2,retained,equivalent
204661,entity_e3,retained,equivalent
204661,entity_e4,retained,equivalent
204661,entity_e5,removed,absent
204661,entity_e6,removed,absent
204661,entity_e8,removed,absent
223874,entity_e1,unresolved,collection_change
223874,entity_e2,removed,absent
223874,entity_e3,retained,equivalent
223874,entity_e4,unresolved,collection_change
223874,entity_e6,retained,equivalent
223874,entity_e7,retained,equivalent
223874,entity_e8,retained,equivalent
87144,entity_e1,retained,equivalent
87144,entity_e2,retained,equivalent
87144,entity_e3,retained,equivalent
87144,entity_e4,retained,specialized
87144,entity_e5,removed,absent
87144,entity_e6,removed,absent
87144,entity_e7,removed,absent
87144,entity_e8,removed,absent
87144,entity_e9,removed,absent
373857,entity_e1,retained,equivalent
373857,entity_e2,retained,equivalent
373857,entity_e3,retained,equivalent
373857,entity_e4,retained,equivalent
373857,entity_e5,removed,absent
373857,entity_e6,retained,equivalent
373857,entity_e9,removed,absent
294484,entity_e1,retained,equivalent
294484,entity_e2,retained,equivalent
294484,entity_e3,unresolved,unresolved
294484,entity_e4,unresolved,unresolved
303908,entity_e1,retained,equivalent
303908,entity_e2,retained,equivalent
303908,entity_e3,removed,absent
303908,entity_e4,retained,equivalent
303908,entity_e5,retained,equivalent
303908,entity_e6,removed,absent
112702,entity_e1,retained,equivalent
112702,entity_e2,retained,equivalent
112702,entity_e3,removed,absent
226701,entity_e1,retained,generalized
226701,entity_e2,retained,generalized
226701,entity_e4,retained,equivalent
226701,entity_e5,removed,absent
226701,entity_e6,removed,absent
226701,entity_e7,removed,absent
226701,entity_e8,removed,absent
226701,entity_e9,removed,absent
89359,entity_e1,retained,equivalent
89359,entity_e2,retained,equivalent
89359,entity_e3,retained,equivalent
89359,entity_e4,retained,equivalent
366830,entity_e1,retained,equivalent
366830,entity_e2,retained,equivalent
366830,entity_e3,retained,equivalent
366830,entity_e4,removed,absent
537857,entity_e1,retained,equivalent
537857,entity_e2,retained,equivalent
537857,entity_e3,retained,equivalent
537857,entity_e4,removed,absent
537857,entity_e5,retained,equivalent
537857,entity_e6,retained,equivalent
537857,entity_e7,removed,absent
537857,entity_e8,removed,absent
537857,entity_e9,removed,absent
494141,entity_e1,retained,equivalent
494141,entity_e2,retained,equivalent
494141,entity_e3,retained,equivalent
494141,entity_e4,removed,absent
164497,entity_e1,retained,equivalent
164497,entity_e2,retained,equivalent
380203,entity_e1,retained,equivalent
380203,entity_e2,retained,equivalent
380203,entity_e3,removed,absent
380203,entity_e4,removed,absent
380203,entity_e5,removed,absent
380203,entity_e6,removed,absent
380203,entity_e7,removed,absent
380203,entity_e8,removed,absent
380203,entity_e9,removed,absent
380203,entity_e10,unresolved,unresolved
570101,entity_e1,retained,equivalent
570101,entity_e2,retained,equivalent
570101,entity_e3,removed,absent
570101,entity_e4,unresolved,collection_change
570101,entity_e7,removed,absent
570101,entity_e8,retained,equivalent
447553,entity_e1,retained,generalized
447553,entity_e2,retained,generalized
447553,entity_e3,retained,equivalent
447553,entity_e4,retained,equivalent
447553,entity_e5,retained,equivalent
447553,entity_e6,removed,absent
230739,entity_e1,retained,equivalent
230739,entity_e2,removed,absent
230739,entity_e3,removed,absent
230739,entity_e4,removed,absent
230739,entity_e5,removed,absent
230739,entity_e6,retained,equivalent
230739,entity_e7,removed,absent
230739,entity_e8,removed,absent
230739,entity_e9,retained,equivalent
230739,entity_e10,retained,equivalent
74789,entity_e1,retained,equivalent
74789,entity_e2,retained,equivalent
74789,entity_e3,retained,equivalent
198590,entity_e1,retained,equivalent
198590,entity_e3,retained,specialized
198590,entity_e4,retained,equivalent
198590,entity_e5,removed,absent
41438,entity_e1,removed,absent
41438,entity_e4,retained,equivalent
41438,entity_e6,retained,equivalent
235864,entity_e1,retained,equivalent
235864,entity_e2,retained,equivalent
235864,entity_e3,retained,equivalent
235864,entity_e4,retained,equivalent
235864,entity_e6,removed,absent
235864,entity_e8,removed,absent
133819,entity_e1,retained,equivalent
133819,entity_e2,retained,equivalent
133819,entity_e3,retained,equivalent
133819,entity_e4,retained,equivalent
133819,entity_e5,retained,equivalent
133819,entity_e8,removed,absent
30361,entity_e1,retained,equivalent
30361,entity_e2,retained,equivalent
30361,entity_e3,retained,equivalent
30361,entity_e4,unresolved,unresolved
30361,entity_e5,removed,absent
30361,entity_e6,retained,equivalent
281683,entity_e1,removed,absent
281683,entity_e2,retained,equivalent
281683,entity_e3,removed,absent
281683,entity_e4,removed,absent
281683,entity_e5,retained,equivalent
281683,entity_e6,retained,specialized
574280,entity_e1,retained,equivalent
574280,entity_e2,retained,equivalent
269942,entity_e1,retained,equivalent
269942,entity_e2,retained,equivalent
269942,entity_e3,removed,absent
269942,entity_e4,retained,equivalent
269942,entity_e5,retained,equivalent
269942,entity_e7,removed,absent
515391,entity_e1,retained,equivalent
515391,entity_e2,retained,equivalent
515391,entity_e3,retained,equivalent
515391,entity_e4,retained,equivalent
515391,entity_e5,removed,absent
572050,entity_e1,retained,equivalent
572050,entity_e2,removed,absent
572050,entity_e3,retained,equivalent
233023,entity_e1,retained,equivalent
233023,entity_e2,retained,equivalent
233023,entity_e3,retained,equivalent
233023,entity_e4,retained,equivalent
233023,entity_e6,removed,absent
230220,entity_e1,retained,equivalent
230220,entity_e2,removed,absent
230220,entity_e3,removed,absent
230220,entity_e4,retained,equivalent
230220,entity_e5,retained,equivalent
230220,entity_e6,retained,equivalent
381213,entity_e1,retained,equivalent
381213,entity_e2,retained,equivalent
381213,entity_e3,retained,equivalent
73201,entity_e1,retained,equivalent
73201,entity_e2,retained,equivalent
73201,entity_e3,retained,equivalent
73201,entity_e4,removed,absent
73201,entity_e5,removed,absent
73201,entity_e6,retained,equivalent
73201,entity_e7,removed,absent
73201,entity_e8,removed,absent
73201,entity_e9,removed,absent
73201,entity_e10,removed,absent
306879,entity_e1,retained,equivalent
306879,entity_e2,retained,equivalent
306879,entity_e3,retained,equivalent
306879,entity_e4,unresolved,collection_change
306879,entity_e5,removed,absent
306879,entity_e6,removed,absent
306879,entity_e7,removed,absent
519728,entity_e1,retained,equivalent
519728,entity_e2,retained,equivalent
519728,entity_e3,retained,equivalent
159736,entity_e1,retained,equivalent
159736,entity_e2,retained,equivalent
159736,entity_e4,retained,equivalent
159736,entity_e6,removed,absent
280888,entity_e1,retained,equivalent
280888,entity_e2,retained,equivalent
280888,entity_e3,removed,absent
280888,entity_e4,retained,equivalent
138119,entity_e1,retained,equivalent
138119,entity_e2,retained,equivalent
138119,entity_e3,retained,equivalent
138119,entity_e4,retained,equivalent
138119,entity_e5,retained,equivalent
138119,entity_e6,removed,absent
138119,entity_e7,removed,absent
454642,entity_e1,retained,equivalent
454642,entity_e2,retained,equivalent
454642,entity_e3,retained,equivalent
454642,entity_e4,removed,absent
454642,entity_e5,removed,absent
