added,gain,hallucination_change,length_group,loss,modified_in,modified_out,original_count,pairs,possible_gain,possible_loss,removed,retained,role,steer_count,supported_change,type
1,1,gained,shorter,0,0,0,0,1,0,0,0,0,H,1,unchanged,entity
0,0,gained,shorter,0,0,0,3,1,0,0,0,3,S,3,unchanged,entity
2,2,gained,shorter,0,0,0,0,6,3,0,0,0,H,3,unresolved,attribute
0,0,gained,shorter,0,0,0,6,6,4,2,0,4,S,6,unresolved,attribute
6,6,gained,shorter,0,0,0,0,6,4,0,0,0,H,7,unresolved,entity
1,1,gained,shorter,11,0,0,41,6,8,6,11,24,S,30,unresolved,entity
0,0,lost,shorter,0,0,0,0,2,0,0,0,0,H,0,gained,attribute
0,0,lost,shorter,0,0,0,3,2,0,0,0,3,S,3,gained,attribute
0,0,lost,shorter,2,0,0,2,2,0,0,2,0,H,0,gained,entity
5,5,lost,shorter,0,0,0,10,2,0,0,0,10,S,15,gained,entity
0,0,lost,shorter,3,0,0,3,17,0,1,3,0,H,0,lost,attribute
0,0,lost,shorter,15,0,0,24,17,0,1,15,9,S,9,lost,attribute
0,0,lost,shorter,25,0,0,26,17,0,4,25,1,H,1,lost,entity
0,0,lost,shorter,50,0,0,99,17,0,4,50,49,S,49,lost,entity
0,0,lost,shorter,6,0,0,7,58,0,1,6,1,H,1,mixed,attribute
30,31,lost,shorter,31,1,1,63,58,4,8,30,25,S,60,mixed,attribute
0,0,lost,shorter,87,0,0,99,58,0,18,87,10,H,10,mixed,entity
108,108,lost,shorter,131,0,0,383,58,30,43,131,225,S,363,mixed,entity
0,0,lost,shorter,0,0,0,0,2,0,0,0,0,H,0,unchanged,attribute
0,0,lost,shorter,0,0,0,1,2,0,0,0,1,S,1,unchanged,attribute
0,0,lost,shorter,2,0,0,2,2,0,0,2,0,H,0,unchanged,entity
0,0,lost,shorter,0,0,0,11,2,0,0,0,11,S,11,unchanged,entity
0,0,lost,shorter,1,0,0,1,15,0,1,1,0,H,0,unresolved,attribute
3,3,lost,shorter,4,0,0,15,15,2,6,4,6,S,11,unresolved,attribute
0,0,lost,shorter,20,0,0,26,15,0,7,20,2,H,2,unresolved,entity
6,6,lost,shorter,26,0,0,72,15,22,19,26,30,S,58,unresolved,entity
0,0,mixed,shorter,0,0,0,0,1,0,0,0,0,H,0,gained,attribute
0,0,mixed,shorter,0,0,0,1,1,0,0,0,1,S,1,gained,attribute
1,1,mixed,shorter,1,0,0,1,1,0,0,1,0,H,1,gained,entity
2,2,mixed,shorter,0,0,0,4,1,0,0,0,4,S,6,gained,entity
0,0,mixed,shorter,0,0,0,0,5,0,1,0,0,H,0,lost,attribute
0,0,mixed,shorter,0,0,0,1,5,0,1,0,1,S,1,lost,attribute
8,8,mixed,shorter,9,0,0,13,5,0,0,9,4,H,12,lost,entity
0,0,mixed,shorter,12,0,0,31,5,0,0,12,19,S,19,lost,entity
7,7,mixed,shorter,1,0,0,1,21,2,4,1,0,H,8,mixed,attribute
8,8,mixed,shorter,9,0,0,22,21,7,10,9,7,S,21,mixed,attribute
27,27,mixed,shorter,34,0,0,44,21,5,10,34,8,H,36,mixed,entity
41,41,mixed,shorter,42,0,0,124,21,20,18,42,72,S,129,mixed,entity
0,0,mixed,shorter,0,0,0,0,4,0,0,0,0,H,0,unresolved,attribute
0,0,mixed,shorter,1,0,0,1,4,0,0,1,0,S,0,unresolved,attribute
4,4,mixed,shorter,6,0,0,8,4,1,3,6,1,H,5,unresolved,entity
5,5,mixed,shorter,4,0,0,22,4,4,4,4,16,S,24,unresolved,entity
0,0,unchanged,shorter,0,0,0,0,2,0,0,0,0,H,0,gained,attribute
2,2,unchanged,shorter,0,0,0,0,2,0,0,0,0,S,2,gained,attribute
0,0,unchanged,shorter,0,0,0,1,2,0,0,0,1,H,1,gained,entity
2,2,unchanged,shorter,0,0,0,9,2,0,0,0,9,S,11,gained,entity
0,0,unchanged,shorter,0,0,0,0,10,0,0,0,0,H,0,lost,attribute
0,0,unchanged,shorter,8,0,0,10,10,0,0,8,2,S,2,lost,attribute
0,0,unchanged,shorter,0,0,0,1,10,0,0,0,1,H,1,lost,entity
0,0,unchanged,shorter,14,0,0,41,10,0,0,14,27,S,27,lost,entity
0,0,unchanged,shorter,0,0,0,0,47,0,0,0,0,H,0,mixed,attribute
32,34,unchanged,shorter,37,2,2,56,47,8,4,35,15,S,57,mixed,attribute
0,0,unchanged,shorter,0,0,0,5,47,0,0,0,5,H,5,mixed,entity
73,73,unchanged,shorter,100,0,0,275,47,30,20,100,155,S,258,mixed,entity
0,0,unchanged,shorter,0,0,0,0,1,0,0,0,0,H,0,unchanged,attribute
0,0,unchanged,shorter,0,0,0,0,1,0,0,0,0,S,0,unchanged,attribute
0,0,unchanged,shorter,0,0,0,1,1,0,0,0,1,H,1,unchanged,entity
0,0,unchanged,shorter,0,0,0,5,1,0,0,0,5,S,5,unchanged,entity
0,0,unchanged,shorter,0,0,0,0,13,0,0,0,0,H,0,unresolved,attribute
0,0,unchanged,shorter,6,0,0,16,13,6,5,6,5,S,11,unresolved,attribute
0,0,unchanged,shorter,0,0,0,2,13,0,0,0,2,H,2,unresolved,entity
2,2,unchanged,shorter,22,0,0,76,13,25,29,22,25,S,52,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,1,0,0,0,0,H,0,gained,attribute
1,1,unresolved,shorter,0,0,0,0,1,0,0,0,0,S,1,gained,attribute
0,0,unresolved,shorter,0,0,0,0,1,2,0,0,0,H,0,gained,entity
2,2,unresolved,shorter,0,0,0,4,1,2,0,0,4,S,6,gained,entity
0,0,unresolved,shorter,0,0,0,0,9,0,4,0,0,H,0,lost,attribute
0,0,unresolved,shorter,14,0,0,16,9,0,4,14,2,S,2,lost,attribute
0,0,unresolved,shorter,0,0,0,1,9,0,8,0,1,H,1,lost,entity
0,0,unresolved,shorter,18,0,0,43,9,0,8,18,25,S,25,lost,entity
1,1,unresolved,shorter,0,0,0,3,63,17,11,0,0,H,7,mixed,attribute
24,24,unresolved,shorter,27,0,0,50,63,27,21,27,10,S,50,mixed,attribute
11,11,unresolved,shorter,24,0,0,40,63,45,57,24,9,H,28,mixed,entity
112,112,unresolved,shorter,140,0,0,383,63,97,111,140,182,S,354,mixed,entity
2,2,unresolved,shorter,3,0,0,7,100,7,23,3,1,H,5,unresolved,attribute
29,29,unresolved,shorter,32,0,0,84,100,25,45,32,27,S,76,unresolved,attribute
17,17,unresolved,shorter,33,0,0,45,100,38,54,33,10,H,32,unresolved,entity
83,83,unresolved,shorter,165,0,0,515,100,112,128,165,274,S,436,unresolved,entity
0,0,lost,unchanged,1,0,0,1,1,0,0,1,0,H,0,mixed,attribute
0,0,lost,unchanged,1,0,0,2,1,0,0,1,1,S,1,mixed,attribute
0,0,lost,unchanged,0,0,0,0,1,0,0,0,0,H,0,mixed,entity
1,1,lost,unchanged,0,0,0,4,1,0,0,0,4,S,5,mixed,entity
