added,gain,hallucination_change,length_group,loss,modified_in,modified_out,original_count,pair_id,possible_gain,possible_loss,removed,retained,role,steer_count,supported_change,type
1,1,unresolved,shorter,1,0,0,1,45388,0,0,1,0,S,1,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,45388,0,0,0,0,H,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,4,281711,1,3,0,4,S,4,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,281711,1,3,0,0,H,0,unresolved,entity
1,1,unresolved,shorter,0,0,0,0,281711,0,0,0,0,S,1,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,281711,0,0,0,0,H,0,unresolved,attribute
1,1,unresolved,shorter,2,0,0,7,268717,3,1,2,4,S,7,mixed,entity
0,0,unresolved,shorter,1,0,0,1,268717,1,0,1,0,H,0,mixed,entity
1,1,unresolved,shorter,0,0,0,2,268717,1,2,0,0,S,2,mixed,attribute
0,0,unresolved,shorter,0,0,0,0,268717,1,0,0,0,H,1,mixed,attribute
1,1,unresolved,shorter,0,0,0,6,318854,2,3,0,5,S,7,unresolved,entity
0,0,unresolved,shorter,1,0,0,3,318854,1,2,1,2,H,2,unresolved,entity
0,0,unresolved,shorter,0,0,0,1,318854,1,1,0,0,S,1,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,318854,0,0,0,0,H,0,unresolved,attribute
0,0,unresolved,shorter,1,0,0,3,402992,1,1,1,1,S,2,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,402992,0,0,0,0,H,0,unresolved,entity
0,0,unresolved,shorter,0,0,0,1,402992,0,1,0,0,S,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,402992,0,0,0,0,H,0,unresolved,attribute
0,0,unchanged,shorter,3,0,0,7,321176,0,0,3,4,S,4,mixed,entity
0,0,unchanged,shorter,0,0,0,0,321176,0,0,0,0,H,0,mixed,entity
1,1,unchanged,shorter,2,0,0,3,321176,0,0,2,1,S,2,mixed,attribute
0,0,unchanged,shorter,0,0,0,0,321176,0,0,0,0,H,0,mixed,attribute
0,0,mixed,shorter,1,0,0,4,34520,1,1,1,2,S,3,unresolved,entity
1,1,mixed,shorter,1,0,0,1,34520,0,0,1,0,H,1,unresolved,entity
0,0,mixed,shorter,1,0,0,1,34520,0,0,1,0,S,0,unresolved,attribute
0,0,mixed,shorter,0,0,0,0,34520,0,0,0,0,H,0,unresolved,attribute
2,2,lost,shorter,1,0,0,5,379542,0,1,1,4,S,6,mixed,entity
0,0,lost,shorter,1,0,0,1,379542,0,1,1,0,H,0,mixed,entity
1,1,lost,shorter,0,0,0,0,379542,0,0,0,0,S,1,mixed,attribute
0,0,lost,shorter,0,0,0,0,379542,0,0,0,0,H,0,mixed,attribute
2,2,lost,shorter,3,0,0,8,340654,0,0,3,5,S,7,mixed,entity
0,0,lost,shorter,1,0,0,1,340654,0,0,1,0,H,0,mixed,entity
0,0,lost,shorter,0,0,0,1,340654,0,0,0,1,S,1,mixed,attribute
0,0,lost,shorter,0,0,0,1,340654,0,0,0,1,H,1,mixed,attribute
2,2,unresolved,shorter,6,0,0,8,40705,1,4,6,2,S,5,unresolved,entity
0,0,unresolved,shorter,1,0,0,1,40705,0,4,1,0,H,0,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,40705,0,0,0,0,S,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,40705,0,0,0,0,H,0,unresolved,attribute
2,2,lost,shorter,5,0,0,11,198120,1,1,5,5,S,8,mixed,entity
0,0,lost,shorter,3,0,0,4,198120,0,0,3,1,H,1,mixed,entity
0,0,lost,shorter,1,0,0,1,198120,0,0,1,0,S,0,mixed,attribute
0,0,lost,shorter,0,0,0,0,198120,0,0,0,0,H,0,mixed,attribute
4,4,unresolved,shorter,4,0,0,8,469671,3,1,4,3,S,8,mixed,entity
0,0,unresolved,shorter,2,0,0,2,469671,2,0,2,0,H,0,mixed,entity
0,0,unresolved,shorter,0,0,0,1,469671,0,0,0,1,S,1,mixed,attribute
0,0,unresolved,shorter,0,0,0,0,469671,0,0,0,0,H,0,mixed,attribute
1,1,lost,shorter,7,0,0,9,402623,1,1,7,1,S,3,mixed,entity
0,0,lost,shorter,2,0,0,2,402623,0,0,2,0,H,0,mixed,entity
0,0,lost,shorter,1,0,0,1,402623,0,0,1,0,S,0,mixed,attribute
0,0,lost,shorter,0,0,0,0,402623,0,0,0,0,H,0,mixed,attribute
0,0,lost,shorter,4,0,0,4,308391,0,0,4,0,S,0,lost,entity
0,0,lost,shorter,1,0,0,1,308391,0,0,1,0,H,0,lost,entity
0,0,lost,shorter,2,0,0,2,308391,0,0,2,0,S,0,lost,attribute
0,0,lost,shorter,0,0,0,0,308391,0,0,0,0,H,0,lost,attribute
3,3,lost,shorter,3,0,0,9,289392,2,3,3,4,S,9,mixed,entity
0,0,lost,shorter,2,0,0,2,289392,0,1,2,0,H,0,mixed,entity
2,2,lost,shorter,2,0,0,2,289392,0,0,2,0,S,2,mixed,attribute
0,0,lost,shorter,0,0,0,0,289392,0,0,0,0,H,0,mixed,attribute
2,2,unresolved,shorter,4,0,0,7,451915,1,1,4,2,S,5,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,451915,0,0,0,0,H,0,unresolved,entity
0,0,unresolved,shorter,1,0,0,1,451915,0,0,1,0,S,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,451915,0,0,0,0,H,0,unresolved,attribute
2,2,mixed,shorter,1,0,0,10,25986,1,1,1,8,S,11,mixed,entity
2,2,mixed,shorter,1,0,0,1,25986,0,0,1,0,H,2,mixed,entity
0,0,mixed,shorter,0,0,0,0,25986,0,0,0,0,S,0,mixed,attribute
0,0,mixed,shorter,0,0,0,0,25986,0,0,0,0,H,0,mixed,attribute
0,0,unchanged,shorter,2,0,0,5,270593,0,0,2,3,S,3,mixed,entity
0,0,unchanged,shorter,0,0,0,0,270593,0,0,0,0,H,0,mixed,entity
1,1,unchanged,shorter,1,0,0,1,270593,0,0,1,0,S,1,mixed,attribute
0,0,unchanged,shorter,0,0,0,0,270593,0,0,0,0,H,0,mixed,attribute
1,1,unresolved,shorter,3,0,0,8,295574,2,1,3,5,S,6,mixed,entity
0,0,unresolved,shorter,0,0,0,0,295574,2,1,0,0,H,0,mixed,entity
1,1,unresolved,shorter,0,0,0,0,295574,0,0,0,0,S,1,mixed,attribute
0,0,unresolved,shorter,0,0,0,0,295574,0,0,0,0,H,0,mixed,attribute
2,2,unresolved,shorter,4,0,0,8,55244,1,2,4,3,S,6,unresolved,entity
1,1,unresolved,shorter,0,0,0,0,55244,0,1,0,0,H,1,unresolved,entity
1,1,unresolved,shorter,0,0,0,1,55244,0,0,0,1,S,2,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,55244,0,0,0,0,H,0,unresolved,attribute
0,0,lost,shorter,2,0,0,6,277326,0,0,2,4,S,4,lost,entity
0,0,lost,shorter,2,0,0,2,277326,0,0,2,0,H,0,lost,entity
0,0,lost,shorter,0,0,0,1,277326,0,0,0,1,S,1,lost,attribute
0,0,lost,shorter,0,0,0,0,277326,0,0,0,0,H,0,lost,attribute
0,0,unresolved,shorter,2,0,0,6,264423,1,0,2,4,S,4,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,264423,1,0,0,0,H,0,unresolved,entity
0,0,unresolved,shorter,1,0,0,1,264423,0,0,1,0,S,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,264423,0,0,0,0,H,0,unresolved,attribute
3,3,unchanged,shorter,2,0,0,5,43098,0,0,2,3,S,6,mixed,entity
0,0,unchanged,shorter,0,0,0,0,43098,0,0,0,0,H,0,mixed,entity
0,0,unchanged,shorter,1,0,0,2,43098,0,0,1,1,S,1,mixed,attribute
0,0,unchanged,shorter,0,0,0,0,43098,0,0,0,0,H,0,mixed,attribute
1,1,unchanged,shorter,1,0,0,6,80185,2,1,1,4,S,7,mixed,entity
0,0,unchanged,shorter,0,0,0,0,80185,0,0,0,0,H,0,mixed,entity
0,0,unchanged,shorter,0,0,0,0,80185,0,0,0,0,S,0,mixed,attribute
0,0,unchanged,shorter,0,0,0,0,80185,0,0,0,0,H,0,mixed,attribute
0,0,unchanged,shorter,4,0,0,9,120357,1,4,4,1,S,2,unresolved,entity
0,0,unchanged,shorter,0,0,0,0,120357,0,0,0,0,H,0,unresolved,entity
0,0,unchanged,shorter,0,0,0,0,120357,0,0,0,0,S,0,unresolved,attribute
0,0,unchanged,shorter,0,0,0,0,120357,0,0,0,0,H,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,2,68418,0,1,0,2,S,2,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,68418,0,1,0,0,H,0,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,68418,0,1,0,0,S,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,68418,0,1,0,0,H,0,unresolved,attribute
2,2,unresolved,shorter,3,0,0,8,561517,1,0,3,5,S,7,unresolved,entity
1,1,unresolved,shorter,1,0,0,2,561517,1,0,1,1,H,2,unresolved,entity
0,0,unresolved,shorter,1,0,0,1,561517,0,0,1,0,S,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,561517,0,0,0,0,H,0,unresolved,attribute
0,0,gained,shorter,1,0,0,5,543118,0,0,1,4,S,4,lost,entity
0,0,gained,shorter,0,0,0,1,543118,0,0,0,1,H,1,lost,entity
0,0,gained,shorter,2,0,0,2,543118,0,0,2,0,S,0,lost,attribute
1,1,gained,shorter,0,0,0,0,543118,0,0,0,0,H,1,lost,attribute
1,1,mixed,shorter,0,0,0,5,120806,0,0,0,5,S,6,mixed,entity
1,1,mixed,shorter,0,0,0,0,120806,0,0,0,0,H,1,mixed,entity
1,1,mixed,shorter,1,0,0,2,120806,0,0,1,1,S,2,mixed,attribute
0,0,mixed,shorter,1,0,0,1,120806,0,0,1,0,H,0,mixed,attribute
2,2,unresolved,shorter,0,0,0,3,136140,0,0,0,3,S,5,mixed,entity
0,0,unresolved,shorter,0,0,0,0,136140,0,0,0,0,H,0,mixed,entity
1,1,unresolved,shorter,1,0,0,1,136140,1,0,1,0,S,1,mixed,attribute
0,0,unresolved,shorter,0,0,0,0,136140,1,0,0,0,H,0,mixed,attribute
3,3,unchanged,shorter,3,0,0,5,196989,0,0,3,2,S,5,mixed,entity
0,0,unchanged,shorter,0,0,0,0,196989,0,0,0,0,H,0,mixed,entity
0,0,unchanged,shorter,0,0,0,0,196989,0,0,0,0,S,0,mixed,attribute
0,0,unchanged,shorter,0,0,0,0,196989,0,0,0,0,H,0,mixed,attribute
3,3,gained,shorter,2,0,0,8,85674,4,3,2,3,S,9,mixed,entity
1,1,gained,shorter,0,0,0,0,85674,1,0,0,0,H,1,mixed,entity
0,1,gained,shorter,1,1,1,1,85674,0,0,0,0,S,1,mixed,attribute
0,0,gained,shorter,0,0,0,0,85674,0,0,0,0,H,0,mixed,attribute
1,1,lost,shorter,1,0,0,6,433892,0,0,1,5,S,6,mixed,entity
0,0,lost,shorter,1,0,0,3,433892,0,0,1,2,H,2,mixed,entity
0,0,lost,shorter,0,0,0,0,433892,0,0,0,0,S,0,mixed,attribute
0,0,lost,shorter,0,0,0,0,433892,0,0,0,0,H,0,mixed,attribute
0,0,unchanged,shorter,1,0,0,4,190015,0,0,1,3,S,3,lost,entity
0,0,unchanged,shorter,0,0,0,0,190015,0,0,0,0,H,0,lost,entity
0,0,unchanged,shorter,1,0,0,2,190015,0,0,1,1,S,1,lost,attribute
0,0,unchanged,shorter,0,0,0,0,190015,0,0,0,0,H,0,lost,attribute
1,1,gained,shorter,1,0,0,3,419558,0,0,1,2,S,3,mixed,entity
1,1,gained,shorter,0,0,0,0,419558,0,0,0,0,H,1,mixed,entity
0,0,gained,shorter,1,0,0,1,419558,0,0,1,0,S,0,mixed,attribute
0,0,gained,shorter,0,0,0,0,419558,0,0,0,0,H,0,mixed,attribute
1,1,mixed,shorter,0,0,0,6,70471,0,2,0,6,S,7,unresolved,entity
1,1,mixed,shorter,1,0,0,1,70471,0,2,1,0,H,1,unresolved,entity
0,0,mixed,shorter,0,0,0,0,70471,0,0,0,0,S,0,unresolved,attribute
0,0,mixed,shorter,0,0,0,0,70471,0,0,0,0,H,0,unresolved,attribute
1,1,unresolved,shorter,4,0,0,6,569801,0,1,4,2,S,3,unresolved,entity
0,0,unresolved,shorter,4,0,0,4,569801,0,1,4,0,H,0,unresolved,entity
0,0,unresolved,shorter,1,0,0,2,569801,0,2,1,0,S,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,569801,0,1,0,0,H,0,unresolved,attribute
3,3,lost,shorter,5,0,0,9,86250,0,0,5,4,S,7,mixed,entity
0,0,lost,shorter,1,0,0,2,86250,0,0,1,1,H,1,mixed,entity
1,1,lost,shorter,0,0,0,1,86250,0,0,0,1,S,2,mixed,attribute
0,0,lost,shorter,0,0,0,0,86250,0,0,0,0,H,0,mixed,attribute
2,2,lost,shorter,2,0,0,7,552221,0,0,2,5,S,7,mixed,entity
0,0,lost,shorter,1,0,0,3,552221,0,0,1,2,H,2,mixed,entity
0,0,lost,shorter,0,0,0,1,552221,0,0,0,1,S,1,mixed,attribute
0,0,lost,shorter,0,0,0,0,552221,0,0,0,0,H,0,mixed,attribute
2,2,unresolved,shorter,4,0,0,6,118839,0,2,4,2,S,4,mixed,entity
0,0,unresolved,shorter,0,0,0,0,118839,0,2,0,0,H,0,mixed,entity
0,0,unresolved,shorter,1,0,0,1,118839,1,2,1,0,S,0,mixed,attribute
0,0,unresolved,shorter,0,0,0,0,118839,1,2,0,0,H,0,mixed,attribute
0,0,unchanged,shorter,1,0,0,4,303499,4,2,1,1,S,5,unresolved,entity
0,0,unchanged,shorter,0,0,0,0,303499,0,0,0,0,H,0,unresolved,entity
0,0,unchanged,shorter,0,0,0,1,303499,2,0,0,1,S,3,unresolved,attribute
0,0,unchanged,shorter,0,0,0,0,303499,0,0,0,0,H,0,unresolved,attribute
1,1,unchanged,shorter,1,0,0,6,471483,0,0,1,5,S,6,mixed,entity
0,0,unchanged,shorter,0,0,0,0,471483,0,0,0,0,H,0,mixed,entity
0,0,unchanged,shorter,1,0,0,3,471483,0,0,1,2,S,2,mixed,attribute
0,0,unchanged,shorter,0,0,0,0,471483,0,0,0,0,H,0,mixed,attribute
0,0,mixed,shorter,1,0,0,5,545353,0,0,1,4,S,4,lost,entity
1,1,mixed,shorter,4,0,0,6,545353,0,0,4,2,H,3,lost,entity
0,0,mixed,shorter,0,0,0,0,545353,0,0,0,0,S,0,lost,attribute
0,0,mixed,shorter,0,0,0,0,545353,0,0,0,0,H,0,lost,attribute
0,0,unresolved,shorter,3,0,0,8,55857,4,4,3,1,S,5,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,55857,0,0,0,0,H,0,unresolved,entity
0,0,unresolved,shorter,0,0,0,1,55857,1,0,0,1,S,2,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,55857,0,0,0,0,H,0,unresolved,attribute
0,0,unresolved,shorter,3,0,0,6,150098,0,0,3,3,S,3,lost,entity
0,0,unresolved,shorter,0,0,0,0,150098,0,0,0,0,H,0,lost,entity
0,0,unresolved,shorter,2,0,0,2,150098,0,1,2,0,S,0,lost,attribute
0,0,unresolved,shorter,0,0,0,0,150098,0,1,0,0,H,0,lost,attribute
0,0,unresolved,shorter,3,0,0,6,183970,0,0,3,3,S,3,unresolved,entity
0,0,unresolved,shorter,1,0,0,2,183970,0,0,1,1,H,1,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,183970,0,0,0,0,S,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,183970,0,0,0,0,H,0,unresolved,attribute
0,0,unresolved,shorter,1,0,0,2,32909,0,2,1,1,S,1,lost,entity
0,0,unresolved,shorter,0,0,0,0,32909,0,2,0,0,H,0,lost,entity
0,0,unresolved,shorter,1,0,0,2,32909,0,1,1,1,S,1,lost,attribute
0,0,unresolved,shorter,0,0,0,0,32909,0,1,0,0,H,0,lost,attribute
0,0,unresolved,shorter,3,0,0,8,21046,0,0,3,5,S,5,unresolved,entity
1,1,unresolved,shorter,1,0,0,1,21046,0,0,1,0,H,1,unresolved,entity
0,0,unresolved,shorter,2,0,0,3,21046,0,0,2,1,S,1,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,21046,0,0,0,0,H,0,unresolved,attribute
2,2,lost,shorter,1,0,0,6,195269,2,2,1,3,S,7,mixed,entity
0,0,lost,shorter,1,0,0,1,195269,0,0,1,0,H,0,mixed,entity
0,0,lost,shorter,0,0,0,1,195269,0,1,0,0,S,0,mixed,attribute
0,0,lost,shorter,0,0,0,0,195269,0,0,0,0,H,0,mixed,attribute
1,1,gained,shorter,0,0,0,5,513037,3,3,0,2,S,6,unresolved,entity
0,0,gained,shorter,0,0,0,0,513037,0,0,0,0,H,0,unresolved,entity
0,0,gained,shorter,0,0,0,1,513037,0,0,0,1,S,1,unresolved,attribute
1,1,gained,shorter,0,0,0,0,513037,1,0,0,0,H,2,unresolved,attribute
1,1,unresolved,shorter,1,0,0,6,431364,4,2,1,3,S,7,mixed,entity
0,0,unresolved,shorter,0,0,0,0,431364,1,0,0,0,H,0,mixed,entity
1,1,unresolved,shorter,0,0,0,0,431364,1,0,0,0,S,2,mixed,attribute
0,0,unresolved,shorter,0,0,0,0,431364,0,0,0,0,H,0,mixed,attribute
3,3,lost,shorter,2,0,0,4,121876,0,0,2,2,S,5,mixed,entity
0,0,lost,shorter,0,0,0,0,121876,0,0,0,0,H,0,mixed,entity
0,0,lost,shorter,2,0,0,2,121876,0,0,2,0,S,0,mixed,attribute
0,0,lost,shorter,1,0,0,1,121876,0,0,1,0,H,0,mixed,attribute
0,0,mixed,shorter,3,0,0,7,256220,0,0,3,4,S,4,lost,entity
3,3,mixed,shorter,1,0,0,2,256220,0,0,1,1,H,4,lost,entity
0,0,mixed,shorter,0,0,0,0,256220,0,0,0,0,S,0,lost,attribute
0,0,mixed,shorter,0,0,0,0,256220,0,0,0,0,H,0,lost,attribute
3,3,unresolved,shorter,1,0,0,2,274612,0,0,1,1,S,4,mixed,entity
0,0,unresolved,shorter,0,0,0,0,274612,0,0,0,0,H,0,mixed,entity
0,0,unresolved,shorter,0,0,0,1,274612,3,3,0,0,S,1,mixed,attribute
0,0,unresolved,shorter,0,0,0,0,274612,2,2,0,0,H,0,mixed,attribute
1,1,unresolved,shorter,4,0,0,6,43324,0,0,4,2,S,3,unresolved,entity
1,1,unresolved,shorter,0,0,0,0,43324,0,0,0,0,H,1,unresolved,entity
1,1,unresolved,shorter,0,0,0,0,43324,0,0,0,0,S,1,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,43324,0,0,0,0,H,0,unresolved,attribute
4,4,unresolved,shorter,3,0,0,5,82465,0,1,3,2,S,6,mixed,entity
0,0,unresolved,shorter,0,0,0,0,82465,0,1,0,0,H,0,mixed,entity
0,0,unresolved,shorter,1,0,0,2,82465,1,1,1,0,S,1,mixed,attribute
0,0,unresolved,shorter,0,0,0,0,82465,0,0,0,0,H,0,mixed,attribute
0,0,unresolved,shorter,1,0,0,4,75806,0,1,1,3,S,3,lost,entity
0,0,unresolved,shorter,0,0,0,0,75806,0,1,0,0,H,0,lost,entity
0,0,unresolved,shorter,1,0,0,1,75806,0,1,1,0,S,0,lost,attribute
0,0,unresolved,shorter,0,0,0,0,75806,0,1,0,0,H,0,lost,attribute
3,3,unchanged,shorter,3,0,0,5,89296,0,0,3,2,S,5,mixed,entity
0,0,unchanged,shorter,0,0,0,0,89296,0,0,0,0,H,0,mixed,entity
2,2,unchanged,shorter,1,0,0,1,89296,0,0,1,0,S,2,mixed,attribute
0,0,unchanged,shorter,0,0,0,0,89296,0,0,0,0,H,0,mixed,attribute
0,0,lost,shorter,4,0,0,8,449039,1,0,4,4,S,5,mixed,entity
0,0,lost,shorter,2,0,0,2,449039,0,0,2,0,H,0,mixed,entity
1,1,lost,shorter,0,0,0,1,449039,0,0,0,1,S,2,mixed,attribute
0,0,lost,shorter,1,0,0,1,449039,0,0,1,0,H,0,mixed,attribute
0,0,lost,shorter,0,0,0,8,527219,0,0,0,8,S,8,unchanged,entity
0,0,lost,shorter,1,0,0,1,527219,0,0,1,0,H,0,unchanged,entity
0,0,lost,shorter,0,0,0,1,527219,0,0,0,1,S,1,unchanged,attribute
0,0,lost,shorter,0,0,0,0,527219,0,0,0,0,H,0,unchanged,attribute
2,2,unresolved,shorter,4,0,0,8,45094,0,3,4,4,S,6,mixed,entity
0,0,unresolved,shorter,0,0,0,0,45094,0,3,0,0,H,0,mixed,entity
1,1,unresolved,shorter,1,0,0,1,45094,0,0,1,0,S,1,mixed,attribute
0,0,unresolved,shorter,0,0,0,0,45094,0,0,0,0,H,0,mixed,attribute
0,0,lost,shorter,2,0,0,7,113246,3,2,2,3,S,6,unresolved,entity
0,0,lost,shorter,1,0,0,2,113246,0,0,1,1,H,1,unresolved,entity
0,0,lost,shorter,0,0,0,0,113246,0,0,0,0,S,0,unresolved,attribute
0,0,lost,shorter,0,0,0,0,113246,0,0,0,0,H,0,unresolved,attribute
0,0,lost,shorter,2,0,0,4,389308,1,1,2,1,S,2,unresolved,entity
